#{"t_start": 1744321262.6129818, "env_id": "None"}
r,l,t
121.679955,242,877.657652
166.57993,272,878.952914
123.7199,213,880.009385
44.47003,103,880.564686
165.79987,270,881.82805
411.0496,435,883.705703
96.200005,175,884.534445
414.77948,442,887.555611
389.8897,401,889.411623
68.390015,121,890.070904
43.760056,104,890.660744
96.239975,171,891.50959
411.84943,435,893.466515
50.600037,100,894.074299
47.01004,99,894.677676
49.43003,107,895.283437
415.00958,449,898.290325
45.260017,104,898.875725
224.95961,354,900.514044
231.21953,363,902.199791
167.34982,275,903.45685
48.130035,107,904.120045
176.15977,304,905.474975
95.55999,169,907.363607
43.210075,109,907.925827
96.80997,174,908.799601
179.88974,301,910.15277
167.31995,278,911.527905
230.63957,361,913.210378
122.3099,209,914.215727
186.0097,299,915.538692
182.74971,295,916.919681
43.140068,106,918.528514
414.1297,442,920.535211
49.300026,110,921.163254
50.26004,104,921.722805
45.36004,104,922.306947
168.35986,274,923.667563
94.919975,173,924.609767
44.220016,108,925.316407
119.129875,207,926.447507
49.320045,108,927.108597
97.54,171,928.190368
47.770042,103,928.800968
230.44962,350,932.03327
370.61966,408,935.332688
231.5797,357,937.818014
406.9396,441,940.646798
97.44996,180,942.070642
120.909966,219,943.948914
44.270027,103,944.798667
177.35974,284,947.79468
47.660034,104,948.459847
390.5896,401,950.797127
74.46001,134,951.633861
44.230026,107,952.309747
168.17984,272,954.1057
45.240044,106,954.747584
229.8895,361,957.012904
44.940033,106,957.780931
178.38983,291,960.825596
408.1493,455,963.874147
215.82953,332,965.987666
212.10944,324,967.990844
44.070015,113,968.933714
50.710045,109,969.614507
45.07,113,970.292778
71.59005,121,970.973758
49.03003,107,971.67589
178.2598,294,973.425634
412.52966,432,977.573929
165.86966,268,979.211827
181.21965,313,981.31266
49.210037,99,982.00681
42.650063,105,982.78848
74.47001,133,983.894331
229.79956,345,986.395398
74.780014,132,987.453503
160.32982,262,990.360129
158.44981,260,992.38537
52.580025,112,993.301785
72.78005,122,994.248025
69.89004,121,995.311691
51.88005,102,996.163702
52.810043,99,997.074932
43.540062,106,998.034814
75.77001,133,999.061541
44.920006,108,1000.089978
180.45969,304,1001.962705
46.05004,105,1003.127344
43.450066,105,1004.14964
122.32986,207,1005.539041
44.380028,102,1006.238259
50.50003,110,1008.00196
163.28986,271,1009.302971
162.27986,257,1010.500284
45.160027,104,1011.157389
52.30002,110,1011.76688
109.85997,179,1012.653031
50.51001,109,1013.270864
163.67989,272,1014.564071
44.550026,105,1015.179095
49.710045,99,1015.812747
98.72999,172,1016.733657
402.74982,425,1020.158063
411.6895,441,1022.503943
42.970047,113,1023.210923
51.960045,104,1023.880035
50.870033,103,1024.57833
50.710037,99,1025.27405
45.88002,102,1025.924281
43.76007,104,1026.485969
412.99963,440,1028.760942
44.06002,104,1029.555988
51.800034,110,1030.219825
164.51993,278,1033.018171
98.549995,180,1033.924279
45.07003,103,1034.5171
233.53957,351,1036.085957
413.79993,490,1038.620804
50.97004,103,1039.450149
50.310028,109,1040.208922
219.10954,334,1042.12235
50.310028,109,1042.815873
50.72003,108,1043.48712
44.540016,106,1045.174259
98.39998,175,1046.07172
212.31952,323,1047.613389
175.15958,294,1048.95458
230.59961,355,1050.307119
110.64001,181,1051.128923
43.87004,113,1051.772756
43.090073,111,1052.380556
378.17963,377,1053.978974
223.7095,334,1056.607834
52.960022,99,1057.148649
231.24956,355,1058.701567
414.87967,452,1060.594299
419.11978,433,1062.384407
77.75998,134,1063.077194
48.12004,103,1063.646036
51.880028,112,1064.237548
233.4298,412,1066.999168
45.280006,112,1067.571791
75.36998,133,1068.292893
47.060043,89,1068.819197
52.56005,104,1069.354309
75.45004,125,1070.048441
111.71998,183,1070.84725
76.48006,132,1071.48618
414.48956,451,1073.241211
390.25964,414,1074.97575
124.029884,207,1076.929257
52.21003,109,1077.557167
45.330017,107,1078.140787
124.550026,215,1079.186439
419.3897,461,1081.01159
113.939964,181,1081.78431
420.48984,441,1083.832558
187.90977,299,1085.382357
50.55002,105,1087.201693
105.43,192,1088.157093
414.84964,440,1090.228342
44.760025,104,1090.828588
373.57935,397,1092.494076
76.77,133,1093.140026
414.41992,513,1095.545932
76.439995,136,1096.269701
51.96003,99,1098.01071
231.66974,383,1099.784523
46.420013,108,1100.416145
181.75975,294,1101.625521
187.90977,299,1103.145793
45.44001,106,1103.802171
77.16999,133,1104.498518
185.71973,298,1105.799051
76.68005,132,1106.449977
45.369995,113,1107.008618
415.01962,448,1110.794567
199.53964,316,1112.787915
112.38996,186,1114.301199
104.82999,192,1115.440605
416.83984,456,1117.86206
234.86948,358,1119.657138
222.23955,331,1122.434296
52.210052,99,1123.016638
223.65965,339,1124.582616
418.3696,438,1126.634042
51.36003,99,1127.242315
187.35977,294,1128.698858
50.81005,99,1129.287286
122.08991,211,1130.388823
51.230034,107,1130.993032
222.62956,332,1133.565048
51.740036,106,1134.197797
51.55005,105,1134.783052
189.58977,301,1136.337858
124.960014,219,1137.485699
105.13002,192,1138.432814
416.9896,441,1140.490247
77.480034,132,1141.204579
188.67973,302,1142.683747
46.490013,111,1143.350174
51.98004,102,1145.006325
100.14999,170,1145.9081
188.49973,300,1147.348471
45.820023,108,1147.98184
182.67973,282,1149.329699
101.09995,170,1150.25351
45.48001,112,1150.898058
43.890022,111,1151.5702
46.040016,106,1152.200666
161.62984,262,1153.442802
396.18912,466,1156.718516
416.8695,443,1158.814552
176.99977,300,1160.208828
223.61957,333,1161.795967
222.83957,326,1163.367959
120.15998,214,1164.494434
54.46003,99,1165.099312
380.72968,392,1167.974548
98.90998,174,1168.827366
72.570045,123,1169.534816
46.130028,107,1170.153175
77.77001,133,1170.860755
179.25975,289,1172.208342
189.07983,292,1173.602326
101.74998,180,1174.501514
46.770035,103,1175.109993
