#{"t_start": 1743710600.502121, "env_id": "None"}
r,l,t
221.51965,323,1861.322919
217.93967,321,1866.683852
219.22958,322,1868.950539
78.860016,134,1870.179098
71.88005,122,1871.29247
168.1399,276,1873.742879
110.25001,180,1875.226452
222.5896,326,1877.448683
223.66962,328,1879.641517
225.9596,329,1885.573815
226.23962,331,1887.94985
226.84961,330,1890.27639
221.89954,325,1892.712053
223.0496,330,1895.421307
174.18977,266,1898.264072
167.15994,274,1900.595208
395.7498,400,1907.469575
219.88956,326,1909.749953
224.64957,330,1912.16467
221.44966,340,1914.693835
166.01985,278,1916.642547
221.70952,334,1919.128973
167.77986,272,1923.983722
172.66966,268,1925.898731
170.26968,268,1928.239255
225.87946,332,1930.715077
170.76965,268,1932.893206
221.62964,332,1935.256233
169.64973,260,1937.237587
224.71968,343,1943.272426
218.81967,323,1945.588567
171.54991,275,1947.635634
79.950005,135,1949.407959
170.6199,278,1951.869171
71.090034,121,1953.187743
172.17966,257,1955.024277
224.96964,338,1957.67144
77.88004,132,1959.145358
70.18003,122,1963.400249
168.46973,268,1965.335667
72.87006,123,1966.525244
171.66974,268,1969.056353
71.66,124,1970.323388
75.68999,131,1971.692147
69.48003,122,1973.39502
222.89963,325,1976.343916
221.3996,325,1978.862974
173.1697,268,1981.146174
172.16966,268,1986.986281
224.57964,337,1989.407208
227.63957,331,1991.888619
79.180046,132,1993.42679
225.33957,331,1996.292307
171.77963,257,1998.625278
111.15,180,2000.051663
225.95963,329,2006.580827
79.08002,132,2007.938848
73.23002,127,2009.299938
110.95002,180,2010.987633
226.30963,334,2014.019777
75.72003,128,2015.31959
70.68004,122,2016.892359
218.21964,323,2019.442314
79.68005,132,2020.966432
225.3796,337,2023.450022
222.22958,332,2028.679867
76.18003,132,2030.002576
248.43954,371,2032.737588
71.59006,121,2034.198667
166.46992,273,2036.19072
70.68002,122,2037.322947
169.06972,268,2039.41622
222.4296,332,2041.768748
72.34,126,2042.964306
79.03003,137,2047.430852
248.58977,371,2050.54958
171.46968,268,2052.790957
70.98002,122,2053.980982
172.07974,257,2055.87016
70.18002,122,2057.088027
73.71002,129,2058.363956
222.9296,332,2060.902976
224.93956,331,2063.182905
110.25002,180,2068.027327
220.9896,326,2070.365336
74.83003,127,2071.724551
108.34997,180,2073.334482
165.75989,274,2075.801158
72.14001,126,2077.077641
245.98979,371,2079.795213
224.5296,332,2082.212005
219.51962,323,2087.827664
76.78003,132,2089.096495
222.53955,331,2091.258035
112.94996,180,2092.751211
169.56975,268,2095.117963
223.44955,330,2097.961801
73.54002,126,2099.217542
246.3897,371,2101.843272
77.74002,136,2103.074753
73.740036,126,2107.56301
222.9696,328,2109.896479
168.32986,277,2111.817885
70.78003,122,2113.048254
223.30951,334,2115.644496
76.36999,133,2117.132885
77.49001,131,2118.555777
113.34997,180,2120.13777
167.53986,276,2122.238743
69.99004,121,2123.365125
171.26973,268,2130.364056
69.79002,121,2131.640699
169.96971,268,2133.705642
71.16003,124,2135.13653
77.96,134,2136.40369
223.8096,334,2139.1028
168.65988,274,2141.383085
223.82954,332,2144.236795
70.390045,121,2145.444176
215.32959,322,2151.041007
219.10956,324,2153.276077
76.869995,133,2154.572645
222.25952,329,2156.803074
167.63988,276,2158.902867
248.73952,371,2161.820718
216.63965,321,2164.060322
397.7995,400,2169.709179
223.12958,332,2172.06464
247.68968,371,2174.884066
399.0498,400,2177.426781
222.65945,329,2180.041
220.28961,326,2182.53277
224.20964,324,2187.88455
250.63956,371,2190.34799
167.23993,276,2192.495823
69.69001,121,2193.669679
70.37003,123,2195.095009
221.30957,324,2197.351823
79.48003,132,2198.552651
79.08004,132,2199.990091
74.61,129,2201.132648
220.9997,325,2206.315304
249.68974,371,2208.906159
221.50961,324,2211.204386
218.33966,321,2213.570611
225.3396,331,2216.026182
226.04958,330,2218.220856
171.4697,268,2223.351267
220.70956,324,2225.513566
220.19955,325,2227.760047
69.69003,121,2228.964303
78.58004,132,2230.411
226.3096,334,2232.69068
225.02951,332,2235.281459
78.46,134,2236.518024
225.75964,339,2242.147807
79.08002,132,2243.359658
220.49965,325,2245.666744
224.95958,329,2247.949562
224.32956,332,2250.631171
223.74957,330,2252.873376
112.049995,180,2254.388115
225.87944,332,2257.01826
75.53003,127,2261.514455
248.88972,371,2264.285622
397.99963,400,2266.953571
247.48972,371,2269.606181
224.27957,327,2272.07103
77.08001,132,2273.257806
171.26971,268,2275.391628
223.82959,332,2280.343802
77.87001,133,2281.59296
221.79959,325,2283.845432
220.10953,324,2286.391336
247.0897,371,2288.933767
225.1696,338,2291.44628
220.89957,325,2297.277587
73.54002,126,2298.496396
224.37964,327,2300.643463
70.36,124,2301.908868
79.45999,134,2303.141596
222.13951,331,2305.536024
225.2296,332,2307.84692
169.02988,277,2310.164897
170.36972,268,2312.530929
79.780045,132,2316.956116
227.14957,330,2319.239656
74.27004,123,2320.337576
172.36969,268,2322.246033
169.5697,268,2324.264432
222.59961,325,2326.727749
225.80966,334,2329.192302
246.28972,371,2334.564459
167.42996,277,2336.879325
69.29002,121,2338.085019
249.58977,371,2340.86694
220.29968,325,2343.273469
219.01971,323,2345.775248
219.92966,322,2348.097907
168.92987,277,2350.351808
216.8396,321,2355.812092
396.9499,400,2358.472646
74.04004,126,2359.820229
224.05962,339,2362.725526
222.19962,325,2365.213959
223.7496,340,2367.501072
224.3295,332,2373.292013
170.9697,268,2375.310053
218.3996,325,2377.671979
77.72002,138,2378.95354
70.16,124,2380.234584
224.60959,334,2382.743399
220.61966,323,2385.003751
80.16,134,2386.385437
225.35959,329,2392.932276
170.76968,268,2394.942838
218.23956,321,2397.142074
222.23958,331,2399.342093
397.69943,400,2402.219804
220.71964,323,2404.483468
221.1896,326,2406.681995
218.93967,321,2411.713344
226.32962,332,2414.034279
72.54002,126,2415.344214
249.38982,371,2418.076906
168.16986,273,2420.085044
224.28961,326,2422.544198
111.549995,180,2423.937711
171.09969,265,2429.152749
78.43997,136,2430.518954
78.080025,132,2431.801127
78.68003,132,2433.453977
219.31958,323,2436.080019
225.2796,327,2438.496759
170.05986,274,2441.046846
223.72957,332,2443.549902
224.42958,332,2449.05338
219.30959,324,2451.438464
114.049965,180,2452.935088
220.52966,322,2455.280992
224.46956,328,2457.919011
111.34997,180,2459.477742
227.0397,331,2462.141156
251.53984,371,2467.886287
109.64999,180,2469.438124
77.78005,132,2470.706768
223.32956,332,2472.925528
249.43968,371,2475.431136
79.28004,132,2476.906223
396.39975,400,2479.514009
223.82956,332,2482.109247
221.32956,332,2487.277955
221.99956,325,2489.46134
220.89963,325,2491.893517
216.2396,321,2494.177731
69.16,124,2495.331751
221.3396,331,2497.863076
168.2399,276,2499.84482
224.12949,332,2505.342362
171.07968,257,2507.085113
224.0996,335,2509.383234
68.890045,121,2510.646103
78.78003,132,2512.44067
77.36001,134,2513.68105
77.249985,135,2515.140671
70.16001,124,2516.579492
222.42958,332,2519.066875
217.22964,322,2524.068141
219.60962,324,2526.812357
76.48002,132,2528.441456
223.02954,332,2530.894123
77.97003,133,2532.470975
221.48962,326,2534.798131
224.22957,332,2537.323513
218.52965,322,2539.479939
224.8296,332,2545.198875
168.91968,263,2547.094495
70.880035,122,2548.256406
171.5697,268,2550.25432
224.62955,332,2552.862598
222.09961,325,2555.217972
225.54955,330,2557.67644
79.18004,132,2558.939545
111.950005,180,2563.799821
71.38003,122,2565.215488
71.29004,121,2566.408972
75.810005,129,2567.548054
78.580025,132,2568.815698
170.23978,271,2570.687875
79.68002,132,2572.216823
224.52963,332,2574.524921
70.880035,122,2575.617813
225.15964,329,2578.209611
224.73964,331,2583.664635
171.06967,268,2585.708773
225.2296,332,2587.945267
109.94999,180,2589.410728
222.67963,327,2591.702184
71.07002,123,2593.183347
221.42969,322,2595.479039
224.39963,325,2598.164491
171.84961,260,2603.442665
246.48967,371,2605.930064
216.82959,322,2608.220751
224.12955,332,2610.513929
247.88972,371,2613.361661
71.960014,124,2614.685869
77.98003,132,2615.860362
222.2897,326,2621.81902
222.12956,332,2624.200373
69.49001,121,2625.406178
112.44999,180,2627.815476
70.19004,121,2629.162104
224.27945,332,2631.821707
221.79956,325,2634.063406
70.29004,121,2635.497649
166.73987,276,2637.670569
221.62967,332,2643.452358
217.02966,322,2645.619109
219.3096,324,2648.070781
218.11957,323,2650.321229
223.72958,332,2652.800394
244.7896,371,2655.342993
77.96998,133,2656.604359
219.79959,325,2662.036322
77.51999,138,2663.28807
218.73961,321,2665.571032
396.99963,400,2668.797542
222.7797,327,2671.079701
225.55954,329,2673.342674
75.880005,132,2674.523866
166.96992,273,2679.515981
248.78978,371,2682.276591
170.46973,268,2684.242315
222.38956,326,2686.489069
224.37944,332,2688.973731
170.4697,268,2690.951749
225.32956,332,2693.691119
71.49005,121,2697.866175
171.16972,268,2699.826819
224.9296,332,2702.298632
79.53999,136,2703.726017
224.92958,332,2706.52355
75.420006,128,2707.828903
170.71968,263,2709.665094
112.41999,183,2711.11402
171.66971,268,2713.270994
222.28958,326,2718.191247
172.36974,258,2720.045345
225.05957,329,2722.5628
221.49957,325,2724.936844
171.3697,268,2727.603919
225.39966,335,2730.144278
224.4096,334,2736.257422
226.32959,332,2738.513708
171.7697,268,2740.41004
78.580025,132,2741.723033
399.44968,400,2744.795402
70.190025,121,2746.084256
227.8496,330,2748.489818
221.73967,321,2750.697796
226.53964,341,2756.368
